緯度,経度,施設名,ふりがな,住所,,区,電話番号　,施設情報,施設種別,0歳児,1歳児,2歳児,3歳児,4歳児,5歳児,月,指定園,新制度未移行園,ソート,月
34.701738,135.479887,マザーシップ新梅田保育園,まざーしっぷしんうめだほいくえん,北区大淀南3-12-12,1,北区,06-6346-3012,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12672/h1-14-mothershipsihinumeda.pdf,保育所,0,0,0,0,2,0,1,,,13317,2
34.71598,135.511044,愛のめぐみ保育園,あいのめぐみほいくえん,北区天神橋8－4－16,1,北区,06‐6755-4600,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12672/h1-13-ainomegumi.pdf,保育所,0,0,0,0,0,0,1,,,13318,2
34.707725,135.504988,中崎町かいせい保育園,なかざきちょうかいせいほいくえん,北区中崎西１-7-39,1,北区,06-6131-5551,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12672/h1-15-nakazakikaisei.pdf,保育所,0,0,1,0,0,2,1,,,13319,2
34.710225,135.49203,茶屋中津保育園,ちゃやなかつほいくえん,北区中津3-3-3,1,北区,06-6377-6333,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12672/h1-16-tyayanakatu.pdf,保育所,0,0,0,0,0,0,1,,,13320,2
34.700537,135.516422,えがおの森保育園・どうしん,えがおのもりほいくえん・どうしん,北区同心1丁目6番27号,1,北区,06-6358-4611,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12672/h1-18-egaonomori.pdf,保育所,0,0,0,0,0,5,1,,,13321,2
34.701311,135.48353,金蘭会保育園,きんらんかいほいくえん,北区大淀南3丁目3番14号,1,北区,06-6454-0800,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12672/h1-17-kinrankai.pdf,保育所,0,0,0,1,0,0,1,,,13322,2
34.693971,135.51888,天満ちとせ保育園,てんまちとせほいくえん,北区天満1丁目18番24号,1,北区,06-6948-5707,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12672/h1-21-tenmatitose.pdf,保育所,0,0,0,0,0,0,1,,,13323,2
34.71058,135.503637,豊崎ちとせ保育園,とよさきちとせほいくえん,北区豊崎1丁目6番5号,1,北区,06-6131-4088,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12672/h1-20-toyosakititose.pdf,保育所,0,0,0,0,3,0,1,,,13324,2
34.706525,135.506406,明の守なかざき園,あけのもりなかざきちょうほいくえん,北区中崎1丁目7番8号,1,北区,06-6373-0080,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12672/h1-22-akinomorinakazaki.pdf,保育所,0,0,0,0,0,0,1,,,13326,2
34.708022,135.492507,ぴっころきっず新梅田園,ぴっころきっずしんうめだえん,北区中津7丁目5番24号ブリエウメキタ１～３階,1,北区,06-6136-8312,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12672/h1-19-pikkoroshinumeda.pdf,保育所,0,0,0,0,10,18,1,,,13325,2
34.694721,135.51021,認定こども園　中之島ちどり保育園,にんていこどもえんなかのしまちどりほいくえん,北区天神西町3-16,1,北区,06-6362-3755,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12672/k1-1-nakanosimachidori.pdf,認定こども園,0,0,0,0,0,0,1,,,12301,2
34.716632,135.516261,さくらんぼルーム,さくらんぼるーむ,北区長柄東3-2-1-103,1,北区,06-6354-6420,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12672/t1-1-sakuranbo.pdf,地域型,0,0,0,,,,1,,,14301,2
34.695314,135.510223,ぬくもりのおうち保育　南森町園,ぬくもりのおうちほいく　みなみもりまちえん,北区天神西町7-16　藤井ビル1階12号,1,北区,06-6311-4188,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12672/t1-2-nukumoriminamimorimachi.pdf,地域型,0,0,1,,,,1,,,14302,2
34.708208,135.50098,梅田ひまわり保育園,うめだひまわりほいくえん,北区鶴野町3-17　ファーストＮレジデンス203号,1,北区,06-6110-5922,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12672/t1-3-umedahimawari.pdf,地域型,0,0,0,,,,1,,,14303,2
34.713989,135.510242,フェアリールーム天六園,ふぇありーるーむてんろくえん,北区本庄東2-2-30-2Ｂ号ウィッシュ大阪ビル,1,北区,06-6377-6780,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12672/t1-4-fairlyroomtenroku.pdf,地域型,0,0,0,,,,1,,,14304,2
34.712216,135.491662,クオリスキッズ中津三丁目保育園,くおりすきっずなかつさんちょうめほいくえん,北区中津3-25-2　北梅田パークレジデンス1階,1,北区,06-6292-5757,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12672/t1-5-kuorisunakatu3tyoume.pdf,地域型,0,0,0,,,,1,,,14305,2
34.711087,135.500793,こぐまの森保育園　梅田園,こぐまのもりほいくえん　うめだえん,北区豊崎2-8-13　ジョリーフローラ1Ｆ,1,北区,06-6376-1671,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12672/t1-6-kogumanomoriumeda.pdf,地域型,0,0,3,,,,1,,,14306,2
34.707473,135.509129,商店街の保育ママ　興学院,しょうてんがいのほいくまま　こうがくいん,北区黒崎町6-13,1,北区,06-6371-6056,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12672/t1-7-kougakuen.pdf,地域型,0,0,0,,,,1,,,14307,2
34.692611,135.5168,かいせいプチ保育園　天満橋園,かいせいぷちほいくえんてんまばしえん,北区天満2-1-11　アルス天満橋1F,1,北区,06-6232-8817,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12672/t1-8-kaiseiputitenmabashi.pdf,地域型,0,0,0,,,,1,,,14308,2
34.695458,135.50749,中之島ちどりキッズ,なかのしまちどりほいくえんきっず,北区西天満3-8-11　レジデンス富貴屋101号,1,北区,06-6926-4467,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12672/t1-9-nakanoshimachidori.pdf,地域型,0,0,0,,,,1,,,14309,2
34.71079,135.493414,ぴっころきっず中津園,ぴっころきっずなかつえん,北区中津3-4-33明成中津ビル1階,1,北区,06-6292-7224,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12672/t1-10-pikkoronakatu.pdf,地域型,0,0,0,,,,1,,,14310,2
34.705581,135.510095,ぴっころきっず北区役所園,ぴっころきっずきたくやくしょえん,北区扇町2丁目1番27号（北区役所内1F）,1,北区,06-6809-1228,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12672/t1-11-pikkorokitakuyakusyo.pdf,地域型,0,0,0,,,,1,,,14311,2
34.693829,135.502123,キッズハーモニー・なかのしま,きっずはーもにー・なかのしま,北区中之島１丁目（大阪市役所本庁舎1F）,1,北区,06-4708-7080,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12672/t1-12-kidsharmonynakanoshima.pdf,地域型,0,0,0,,,,1,,,14312,2
34.692344,135.514467,コミニケ保育園,こみにけほいくえん,北区天満4-1-2コミニケ出版ﾋﾞﾙ2F,1,北区,06-6882-7701,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12672/t1-13-kominike.pdf,地域型,0,1,1,,,,1,,,14313,2
34.705297,135.485855,ニチイキッズ大淀中保育園,かしょうにちいきっずおおよどなかほいくえん,北区大淀中3-11-32　ドムール北３番館１F,1,北区,06-6363-6438,https://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12672/t1-14-nichiikidsooyodonaka.pdf,地域型,0,0,5,,,,1,,,14314,2
34.707134,135.53134,都島東保育園,みやこじまひがしほいくえん,都島区都島本通4-10-27,2,都島区,06-6922-7332,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12673/h2-5-miyakojimahigasi.pdf,保育所,0,0,0,0,0,0,1,,,23305,2
34.722135,135.52773,大阪市立毛馬保育所,おおさかしりつけまほいくしょ,都島区毛馬町2-5-13,2,都島区,06-6924-1565,https://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12673/02-kema.pdf,保育所,0,0,0,0,1,3,1,,,23102,2
34.716421,135.534747,大阪市立御幸保育所,おおさかしりつみゆきほくしょ,都島区御幸町2-7-13,2,都島区,06-6922-2000,https://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12673/02-miyuki.pdf,保育所,0,0,0,0,4,5,1,,,23101,2
34.725592,135.526636,大東保育園,だいとうほいくえん,都島区大東町2-19-7,2,都島区,06-6925-6777,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12673/h2-1-daitou.pdf,保育所,0,0,0,0,0,0,1,,,23301,2
34.707963,135.528524,都島第二乳児保育センター,みやこじまだいににゅうじほいくせんたー,都島区都島本通3-16-10,2,都島区,06-6921-7221,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12673/h2-2-miyakojimadai2nyuji.pdf,保育所,,0,0,,,,1,,,23302,2
34.707972,135.528218,都島乳児保育センター,みやこじまにゅうじほいくせんたー,都島区都島本通3-16-8,2,都島区,06-6922-4120,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12673/h2-3-miyakojimanyujihoiku.pdf,保育所,0,0,,,,,1,,,23303,2
34.715336,135.526357,都島友渕乳児保育センター,みやこじまともぶちにゅうじほいくせんたー,都島区友渕町1-6-3,2,都島区,06-6929-1580,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12673/h2-6-miyakojimatomobuchinyuji.pdf,保育所,0,0,0,,,,1,,,23306,2
34.717294,135.530992,子ロバ保育園,ころばほいくえん,都島区高倉町2-8-5,2,都島区,06-6928-2828,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12673/h2-7-koroba.pdf,保育所,0,0,0,0,0,0,1,,,23307,2
34.722153,135.525295,毛馬コティ保育園,けまこてぃほいくえん,都島区毛馬町2-8-7,2,都島区,06-6924-9811,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12673/h2-8-kemakotei.pdf,保育所,0,0,0,0,1,0,1,,,23308,2
34.704051,135.526038,なのはな保育園,なのはなほいくえん,都島区都島南通1-9-1,2,都島区,06-6921-6818,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12673/h2-9-nanohana.pdf,保育所,0,0,0,0,0,0,1,,,23309,2
34.711777,135.522237,さくらさくみらい　善源寺,さくらさくみらい　ぜんげんじ,都島区善源寺町1-13-22,2,都島区,06-6180-6039,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12673/h2-10-zengenjisakura.pdf,保育所,0,0,0,0,0,0,1,,,23310,2
34.709718,135.536608,アスクうちんだい保育園,あすくうちんだいほいくえん,都島区内代町1-6-7,2,都島区,06-6958-1573,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12673/h2-11-asukuutindai.pdf,保育所,0,0,0,0,0,0,1,,,23311,2
34.714591,135.529119,トレジャーキッズともぶち保育園,とれじゃーきっずともぶちほいくえん,都島区友渕町2-10-17,2,都島区,06-6180-7020,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12673/h2-12-torejyatomobuchi.pdf,保育所,0,0,0,0,0,0,1,,,23312,2
34.719436,135.531237,うれしい保育園都島,うれしいほいくえんみやこじま,都島区高倉町3-6-11,2,都島区,06-6924-7121,https://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12673/h2-13-ureshiimiyakojima.pdf,保育所,0,0,0,0,0,2,1,,,23313,2
34.706587,135.529039,認定こども園　都島児童センター,にんていこどもえんみやこじまじどうせんたー,都島区都島本通3-4-3,2,都島区,06-6921-5323,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12673/k2-3-miyakojimajidou.pdf,認定こども園,0,0,0,0,0,0,1,,,22303,2
34.718811,135.525466,認定こども園　友渕児童センター,にんていこどもえんともぶちじどうせんたー,都島区友渕町1-3-141,2,都島区,06-6924-4788,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12673/k2-2-tomobutijidou.pdf,認定こども園,0,0,0,0,0,0,1,,,22302,2
34.700475,135.528545,認定こども園　東野田ちどり保育園,にんていこどもえんひがしのだちどりほいくえん,都島区東野田町4-15-20,2,都島区,06-6358-1415,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12673/k2-1-higashinoda.pdf,認定こども園,0,0,0,0,0,0,1,,,22301,2
34.70961,135.534532,認定こども園　内代まつのはな保育園,にんていこどもえんうちんだいまつのはなほいくえん,都島区都島北通2-9-16,2,都島区,06-6921-5515,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12673/k2-5-utindaimatunohana.pdf,認定こども園,0,0,0,0,0,0,1,,,22304,2
34.723903,135.527599,認定こども園　淀川幼稚園,にんていこどもえんよどがわようちえん,都島区大東町2-5-28,2,都島区,06-6922-1214,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12673/k2-4-yodogawa.pdf,認定こども園,,,,0,0,0,1,1,,22305,2
34.706737,135.523642,桜宮児童センター,かしょうさくらのみやじどうせんたー,都島区中野町5-10-80,2,都島区,06-6922-2670,https://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12673/k2-6-sakuranomiyajidou.pdf,認定こども園,0,0,0,0,0,0,1,,,23306,2
34.709828,135.527253,きらきらＢａｂｙ　都島園,きらきらべびー　みやこじまえん,都島区都島北通１－１１－８　アーバン都島１階,2,都島区,06-7182-2158,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12673/t2-1-kirakiramiyakojima.pdf,地域型,0,0,0,,,,1,,,24301,2
34.709886,135.52751,きらきらＢａｂｙ　都島本通園,きらきらべびー　みやこじまきたどおりえん,大阪市都島区都島本通1-21-15,2,都島区,06-6955-9008,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12673/t2-2-kirakiramiyakojimakitadori.pdf,地域型,0,0,0,,,,1,,,24302,2
34.711905,135.530326,エンジェルキッズ都島園,えんじぇるきっずみやこじまえん,都島区都島北通１－２３－１３　マルニコーポ都島第４　１０２号,2,都島区,06-6180-4080,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12673/t2-3-angelkidsmiyakojima.pdf,地域型,0,0,1,,,,1,,,24303,2
34.697096,135.529506,桜の宮ベビーセンター,さくらのみやべびーせんたー,都島区東野田町１－１５－１８,2,都島区,06-6352-4907,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12673/t2-4-sakunomiyababy.pdf,地域型,0,0,0,,,,1,,,24304,2
34.711253,135.531209,社会福祉法人 大阪婦人ホーム 子ロバ乳児園,しゃかいふくしほうじん　おおさかふじんほーむ　ころばにゅうじえん,都島区都島北通２－２１－３３,2,都島区,06-6180-7258,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12673/t2-5-korobanyuji.pdf,地域型,0,0,0,,,,1,,,24305,2
34.707573,135.519718,あい・あい保育園　桜ノ宮園,あい・あいほいくえん　さくらのみやえん,都島区中野町５－１３－４　桜ノ宮リバーシティタワー１Ｆ,2,都島区,06-6922-0200,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12673/t2-6-aiaisakuranomiya.pdf,地域型,0,0,0,,,,1,,,24306,2
34.700287,135.533642,東野田ちどりキッズ,ひがしのだちどりきっず,都島区東野田町5-8-16 マリス京橋WING 102号,2,都島区,06-6925-1577,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12673/t2-7-higashinodachidori.pdf,地域型,0,0,0,,,,1,,,24307,2
34.697345,135.527295,くじら保育園　都島東野田園,くじらほいくえん　みやこじまひがしのだえん,都島区東野田町1-20-4 SWISS京橋1階,2,都島区,06-4792-8050,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12673/t2-8-kujiramiyakojimahigashinoda.pdf,地域型,0,0,0,,,,1,,,24308,2
34.70503,135.520252,桜ノ宮サンフレンズ保育園,さくらのみやさんふれんずほいくえん,都島区中野町5-2-32,2,都島区,06-7502-7193,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12673/t2-9-sakuranomiyasunfriends.pdf,地域型,0,0,0,,,,1,,,24309,2
34.710622,135.530597,くじら保育園都島北園,くじらほいくえんみやこじまきたえん,都島区都島北通1‐16‐18,2,都島区,06-6180-7407,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12673/t2-10-kujiramiyakojimakita.pdf,地域型,0,0,0,,,,1,,,24310,2
34.701279,135.528091,東野田ちどりキッズ庁舎内,ひがしのだちどりきっずちょうしゃない,都島区中野町2-16-20,2,都島区,06-6358-8008,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12673/t2-11-chidorityousyanai.pdf,地域型,0,0,0,,,,1,,,24311,2
34.69808,135.471243,大阪市立海老江保育所,おおさかしりつえびえほいくしょ,福島区海老江6-1-9,3,福島区,06-6451-5734,https://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12674/03-ebie.pdf,保育所,0,0,0,0,0,0,1,,,33101,2
34.685866,135.477605,大阪市立野田保育所,おおさかしりつのだほいくしょ,福島区野田2-12-1,3,福島区,06-6462-0080,https://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12674/03-noda.pdf,保育所,0,0,0,0,5,4,1,,,33102,2
34.691177,135.472509,大阪市立吉野保育所,おおさかしりつよしのほいくしょ,福島区吉野3-17-11,3,福島区,06-6461-1350,https://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12674/yoshino.pdf,保育所,0,1,0,,,,1,,,33201,2
34.698688,135.482556,保育所和光園,ほいくしょわこうえん,福島区鷺洲2-14-1,3,福島区,06-6451-7193,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12674/h3-1-wakouen.pdf,保育所,0,0,0,0,0,0,1,,,33301,2
34.689563,135.481017,認定こども園　玉川ひばりこども園,ひばりほいくえん,福島区玉川1-6-2,3,福島区,06-6444-1225,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12674/h3-2-hibari.pdf,認定こども園,0,0,0,0,0,0,1,,,33303,2
34.684481,135.470052,ふじのもり保育園,ふじのもりほいくえん,福島区野田6-5-41 N101　リバーガーデン福島,3,福島区,06-6460-6060,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12674/h3-3-fujinomori.pdf,保育所,0,0,0,0,0,0,1,,,33305,2
34.694635,135.489632,中之島ひばり保育園,なかのしまひばりほいくえん,福島区福島1-1-51-401 堂島クロスウォーク,3,福島区,06-6453-6048,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12674/h3-4-nakanoshimahibari.pdf,保育所,0,0,1,0,0,0,1,,,33306,2
34.697493,135.480083,保育所第二和光園,ほいくしょだいにわこうえん,福島区鷺洲3-1-59,3,福島区,06-6456-0550,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12674/h3-5-dai2wakouen.pdf,保育所,0,0,0,0,0,2,1,,,33309,2
34.697714,135.472696,あい保育園海老江,あいほいくえんえびえ,福島区海老江2-11-12　共和ビル2階・3階,3,福島区,06-6136-8846,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12674/h3-6-aiebie.pdf,保育所,0,0,0,0,0,0,1,,,33310,2
34.689206,135.478908,あい保育園玉川,あいほいくえんたまがわ,福島区玉川4-4-17,3,福島区,06-6225-8152,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12674/h3-7-aitamagawa.pdf,保育所,0,1,0,1,0,1,1,,,33311,2
34.691058,135.475411,どんぐりこ福島吉野保育園,どんぐりこふくしまよしのほいくえん,福島区吉野2-9-4,3,福島区,06-6441-8872,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12674/h3-8-dongurikofukushimayosino.pdf,保育所,0,0,0,0,2,0,1,,,33312,2
34.697515,135.478989,分園　鷺洲マーヤ保育園,ぶんえん　さぎすまーやほいくえん,福島区鷺洲３－４－２　,3,福島区,06-6454-2239,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12676/h4-2-seishigakuen.pdf,保育所,0,0,0,,,,1,,,33313,2
34.698331,135.478361,保育所和光園　分園,ほいくしょわこうえん　ぶんえん,福島区鷲州５－２－３　,3,福島区,06-6451-7193,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12674/h3-1-wakouen.pdf,保育所,－,－,－,－,－,－,1,,,33302,2
34.690218,135.478114,認定こども園　玉川ひばりこども園　玉川キッズステーション(分園）,ひばりほいくえん　たまがわきっずすてーしょんぶんえん,福島区玉川４－６－１７,3,福島区,06-6447-7878,https://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12674/k3-2-tamagawahibari.pdf,認定こども園,－,－,－,－,－,－,1,,,32304,2
34.694364,135.481271,英風保育園,えいふうほいくえん,福島区福島８－３－９,3,福島区,06-4798-0278,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12674/h3-9-eifuu.pdf,保育所,0,0,0,0,0,1,1,,,33314,2
34.687024,135.467179,新家保育園,しんけほいくえん,福島区吉野5-6-12,3,福島区,06-6462-0064,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12674/h3-10-sinke.pdf,保育所,0,0,0,0,0,0,1,,,33315,2
34.692685,135.479464,新福島ちどり保育園,しんふくしまちどりほいくえん,福島区吉野1－5－1,3,福島区,06-6136-8660,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12674/h3-11-shinfukushimachidori.pdf,保育所,1,0,0,0,0,0,1,,,33316,2
34.68984,135.473123,吉野かいせい保育園,よしのかいせいほいくえん,福島区吉野3-9-24,3,福島区,06-6131-8820,http://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12674/h3-12-yoshinokaisei.pdf,保育所,0,0,0,0,0,0,1,,,33317,2
34.68882,135.471734,ソフィア吉野保育園,そふぃあよしのほいくえん,福島区吉野４-１３－１０,3,福島区,06-6225-8607,https://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12674/h3-14-sofiayoshino.pdf,保育所,0,0,0,1,0,0,1,,,33318,2
34.690857,135.471957,吉野ちとせ保育園,よしのちとせほいくえん,福島区吉野４-９－１９,3,福島区,06-6461-3380,https://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000012/12674/h3-13-yoshinotitose.pdf,保育所,0,0,0,0,1,0,1,,,33319,2
